review,rating,sentiment
좋아요,5,positive
"제가 내공이 약해서인지
그냥 수박 겉핱기 ㅠㅠ
이게 왜 베스트 셀러인지...",1,negative
구매한 책이 아닌 e북으로 훑어본게 얼마나 다행인지 그리고 뻔한 내용에 감탄하는 댓글은 뭐지,1,negative
후기가 좋아서 구매했는데 직접 봤다면 구매 안했을것 같아요,2,negative
잘 안 읽히지만 꾸역꾸역 읽긴 했습니다..다 읽고나서 머리에 남는게 별로 없는 책,2,negative
뭔가 이리저리 흩어져있던 철학개념을 정리해주는 느낌이 들어 유익한 책이긴 하나 깊이가 없고,3,neutral
잘 봤습니다.,3,neutral
그렇게 와닿진 않네요ㅜ,2,negative
철학책 읽고 싶어서샀어요,5,positive
잘 읽었습니다~,4,positive
"내용이 어려워서 그런지 술술 읽히진  않아요
두고두고 읽어야겠어요 ....",3,neutral
추천합니다.,4,positive
철학을 해야하는 이유,3,neutral
"잘읽었습니다
한번쯤은 꼭읽어볼만한책이네요",5,positive
배송중에 한쪽 모서리가 망가져 와서 기분이 좋지 않습니다.. 중고로 판매도 힘들것 같네요.,3,neutral
철학은 사람이 사람 일 수 있게 하는 방법인것 같습니다.책이신선합니다,4,positive
너무 얕은 철학에 대한 접근,3,neutral
너무 많은 학자와 개념들이 나오는데 너무 짧게 짧게 정리한 부분이 오히려 독이 되었다.,1,negative
생각보다 쉽지 않은 책..,3,neutral
좋아요 추천합니다.,3,neutral
잘 읽어보겠습니다,5,positive
인터넷에서 소개글 읽고 구매.. 재미있을 것 같아 기대됨,5,positive
종이책이면 누구 주기라도 하지 걍 삭제에요..,1,negative
어려운 철학을 어렵게 잘 짜집기하여 설명을 잘했다. 사상을 좋아하시는 분들에게만 추천드림,1,negative
"1

지루

ㅡ",1,negative
생각보다는 별로  인듯,3,neutral
잘 받았습니다~^^,5,positive
별로에요~!,2,negative
사람을,3,neutral
삶의 기준에 도움되는 글귀들이나 잘 읽히지가 않내요,3,neutral
그다지 마음에 드는 책은 아니다.,3,neutral
제목만큼 좀더 참신한 것을 원했던 건 욕심이었을까?,3,neutral
다양한 철학적 견해의 현대적 의미를 단편적으로 구성. 유익합니다.,5,positive
잘 받았습니다,2,negative
"읽었는데 책 덮고 나니 기억은 안나는데 
읽으면서 공감하면서 웃었던 내용은 꽈 많았다",3,neutral
철학에 대한 비즈니스로의 새로운 접목이 매력적이네요...,4,positive
수박에 겉핥기식이다,1,negative
역시 책은 서점에서 훑어보고 사야하는게 맞습니다. 서평이라든지 베스트셀러만 믿으면 안되요.,2,negative
읽을만합니다,3,neutral
추천여부를 묻는다면 비추입니다.,3,neutral
깊이 읽어볼만한 책,5,positive
이런 철학책이라면 완전 땡큐~~ 너무 재밌게 잘 읽었다.,5,positive
"철학은 어렵지 않아요
우리 삶에 필요한  철학 
쉽게 설명한 책",4,positive
철학은 그 어떤 무기보다 강하다!,5,positive
제목에 낚임,1,negative
가볍게 보기에는 괜찮습니다. 필요한 부분  발췌독하기에 좋습니다,3,neutral
"배경지식이 없으면 내용이 부족하고, 배경지식이 있다면 굳이 읽을 필요가 없다.",2,negative
몇번을 보게되요,5,positive
가볍게 읽기 좋게 되어 있어요,2,negative
무슨말을 하고자 하는지는 알겠지만 책을 그다지 추천하고 싶진 않다.,1,negative
중반까지는 그럭저럭 읽을만합니다,2,negative
나만의 무기를 장착하였다,4,positive
대학 과제때문에 읽게 됐는데 여유를 두고 좀더 천천히 정독해보고 싶은 책이네요,3,neutral
잘,5,positive
잘읽었습니다,4,positive
아마존의 성장비결을 알 수 있는 책. 저자가 자아를 찾기까지 12년은 너무 길지 않았나싶다,3,neutral
저는 생각보다 별로 였습니다. 정보를 얻고자 하는 사람들은 비추천,1,negative
짧은 글속에 많은 것들이 들어 있네요,5,positive
기대하고 보겠습니다,4,positive
그를 좋아하지만 이번 책은 아니다. 여행기가 아님.그냥 붕 떠 있는 에세이. 여행기는 정보,2,negative
잘 읽을게요.,3,neutral
여행에 대한 의미를 되새겨보는 책,4,positive
인간이 여행을 꿈꾸는 이유는 독자가 소설을 읽는 것과 비슷하다.,3,neutral
그의 필력엔 공감하지만 산만하게 느껴지고 지루했어요. 다들 좋다는데.. 글쎄요,2,negative
양장판에 가름끈이 없다니. 편집부 각성하세요. 이 일점은 문동편집부 제작팀에 드립니다,1,negative
가볍게 읽기 좋은 것 같아요. 김영하 작가의 어투도 좋구요.,4,positive
여행은 나도 몰랐던 나를 발견하는 것.,3,neutral
"역시 김영하 작가의 명성답게 멋진 책.
왜 베스트셀러인지 끄덕여집니다.
새롭게 다가온 여행",5,positive
여행에 관한 노하우는 절대 들어있지 않습니다. ㅋㅋㅋ,5,positive
생각햇던건아니네요 ㅎㅎㅎㅎ여행에세인줄...,3,neutral
젊은 시절의 김영하는 내 예상과는 전혀 다른 인물이었구나.,3,neutral
읽는 내내 글쎄라는 생각이 든다,1,negative
편하게 읽으려고 구매했는데 생각만큼 속도가 나지 않았다.,2,negative
흠 그정돈가?,2,negative
기대 이하네요. 왜 몇주째1위인지 납득불가,1,negative
확실히 잘 쓴 책입니다.,4,positive
가벼운 책 무겁지 않은 내용 딱 그정도의 깊이,3,neutral
김영하 작가님 표 산문집,3,neutral
여행의 이유를 알지 못하겠어요,3,neutral
가벼우면서도 쉽게 읽히고 많은 것을 생각하게 해줌,5,positive
여행의이유,5,positive
당장 여행을 떠나고 싶은 마음이듭니다,4,positive
"김영하님 글이 너무 좋아 이틀만에ㅡ다읽었습니다
여행좋아하는 사람에게 강추하고싶은책",5,positive
"평이 좋은거 같았는데 저랑은 잘 안맞는거 같네요
잘 읽히지 않았어요",2,negative
"이렇게 재미있고 문학적이고, 수준높은 여행 에세이는 흔치않다.",5,positive
그동안 여행은 시간과 돈의 낭비라고만 생각했었는데 작가님 덕분에 크게 깨달았습니다.,3,neutral
"아주 쉽게 금방 책장이 넘어갑니다.
작가를 좀더 잘알게 되는 느낌",4,positive
나름 좋았어요~~,3,neutral
"지루하고, 기억에 딱히 남는 것도 없었던 책이에요",2,negative
좋은 책이었습니다.,3,neutral
작가를 다시 보게된 책..,3,neutral
"여행은 일상의 부재, 일상으로부터의 탈출, 일상을 여행할 힘의 원천이란 말이 깊이 와닿네요",5,positive
기대하고 읽었는데 당최 무슨 소리인지 모르겠습니다.,1,negative
여행이 고파서 샀습니다,4,positive
"여행가는 비행기안에서 읽은 책
여행에 대한 사색에 가깝네요",4,positive
흠.. 왜 이책을 읽어야하는지.. 정말 이해가 안간다.. 내 기준에선 엄청 산만한 책..,1,negative
여행의 가치를  제대로 전달해주는 책인듯합니다,5,positive
쉽게 읽히지 않네요 전 좀 어렵네요,3,neutral
기대보다는 별로이네요.... 여행이라는 키워드로 억지로 책을 만들기위해 말을 늘어놓은 느낌,2,negative
개나소나 방송에 나오면 베스트셀러되는 매직!,1,negative
"여행세포를 자극하기엔 부족한, 그러나 작가 특유의 화법을 좋아한다면.",3,neutral
글보다는 언변이 더 나으심,2,negative
너무 기대했는지.. 여행을 좋아하는 저에게 별 감흥이 없었고..뒤로갈수록 무슨 내용인지도.,2,negative
저는 그다지 와닿는 내용이 없네요,3,neutral
방송에서 얻은 인기가 떨어지기전에..  다급하게 한권 쓰신책인듯.. 책이주는 메시지가 없음,1,negative
여행을좋아하는 나와 김영하작가님의 여행이야기..많은생각이들게한 책^^,5,positive
음.. 하고싶은 말씀이 그래서 정확히 무엇인지 잘 모르겠습니다..,1,negative
여행하며 가져가서 읽기좋은 책,3,neutral
쉽게쉽게 잘 읽히네요,4,positive
각자 본인을 위한 여행의 이유를 찾으시기를...,3,neutral
개인적으로 베스트셀러 1위에 오를만한 책은 아니지만 그래도 잘 읽었다.,3,neutral
기대를 너무 많이 해서인가..두번을 읽어보았지만 나에게는 별로...,2,negative
괜히 샀나봄.ㅠ,2,negative
진한 글씨가 읽기 편하다. 종종 작가가 다른 매체에 썼던 글을 인용하는 인쇄체가 흐리다.,3,neutral
"작가님 책을 처음 읽어봅니다. 작가님 스타일을 잘 몰라서, 책이 쭉쭉 읽혀지지 않았습니다",1,negative
정말 기대됩니다.,4,positive
그의 여행은 글쓰기의 토대였네요. '자신이 창조한 세계에 다녀오는 것이 최대의여행이다',3,neutral
나름 독특한 분석을 기대하고 읽었는데 기대밖. 중언부언이 심하네요,3,neutral
좌파가 감성적이고 우파가 이성적이라고 하기엔 지금 자유한국당을 보시죠?,1,negative
좌파적사고와 우파적사고의 장점을 융합시키는 지혜가 필요한 때다. ♡☆ 가을에 자미원88,5,positive
잘 읽었습니다,3,neutral
"GIRLS, BE AMBITIOUS!",5,positive
이미 어느 정도 지위에 올라섰으니 쓸 수 있는 얘기,1,negative
인터넷으로 페미니즘을 배운 사람이 그냥 쓴글같다. 깊이도 철학도 없다.,1,negative
정말 좋은 책!,5,positive
잘 읽었어요,3,neutral
아마존의 성장비결을 알 수 있는 책. 저자가 자아를 찾기까지 12년은 너무 길지 않았나싶다,3,neutral
저는 생각보다 별로 였습니다. 정보를 얻고자 하는 사람들은 비추천,1,negative
"새로운 사고의 접근성,  다양한 아이디어와 경험에서 우러나온 글들이 맘에들었습니다.",5,positive
가볍게 읽기 좋은책,3,neutral
너무 뻔한 이야기들이라 새로울 것도 없었습니다. 제목을 잘 뽑은 덕에 팔리는 책 같아요..,1,negative
한번 읽어보고 싶었던 도서라 구매했습니다.,5,positive
만성염증에 대한 정보를 얻을 수 있으나 염증억제에대한 내용이 조금 더 많았으면...,3,neutral
"아토피에 대해 봤는데, 그냥 스테로이드 발라라? 끝...너무 성의 없이 썼다",1,negative
어머니 사드렸는데 좋아하시네요,5,positive
잘 읽었습니다~,3,neutral
별로 감흥이 없어요,2,negative
나이는 숫자에 불과하다는 말을 실감하는 내용이다,5,positive
"형편없는 수준의 질 떨어지는 책.
갖다버리고 싶은 책",1,negative
볼만하네요,3,neutral
좋습니다 느슨해질때마다 다시 읽어도 좋을책이에요,5,positive
굿,4,positive
왜 이런 책들은 항상 미쿡의 백인에 의해 쓰여지는 걸까?,1,negative
"아이,어른 모두가 읽어보면 좋을것같아요.  자신에게도 도움이 될것같거든요.^^",5,positive
"여기 한 줄평 및 리뷰들 다 댓글알바 입니다.
속지마세요. 책은 내용도 없는 싸구려입니다.",1,negative
누구나 다 알지만 실천이 힘든 습관잡기 뭐 특별히 동기부여가 되는 내용은 없고 지루합니다,1,negative
나에게는 그다지 좋은 느낌이 없었네요,3,neutral
당연한 말을 질질 끈다!,1,negative
이론은 빠삭. 이젠 실천할 때!,5,positive
잘 보겠습니다,3,neutral
내용은 실천가능하나 글을 잘썼다는 느낌이 없네요. 저와 곌이 맞지 않아서 그런지.,2,negative
내용은 좋으나 실천으로 연결이안되어 도움이 안되었어요,2,negative
내용이 굿~~~~,4,positive
"간만에 책을 샀다. 책을 사서 읽는 습관이 돌아왔다. 
코로나 너 대단하다..",3,neutral
"원서가 어려운 건지, 번역이 어려운 건지, 뒤로 갈 수록 안 읽힌다...",3,neutral
잘봤어요,3,neutral
하루하루를 만들어 가는 작은 습관에 대한 소중함,5,positive
"좋은책입니다
 추천합니다",5,positive
오랜만에 유익한 자기계발서를 읽었습니다. 작은습관이 정말 큰힘이라것 !!,3,neutral
여자 연쇄살인범 이라는 설정이 좋았고 흡입력도 있었다. 가벼운 남자들이란..,4,positive
결론이 뭐야,1,negative
코레드가 무흐타르의 전화번호를 외웠길 바란다,5,positive
잘모르겠어요,2,negative
어서 뒷 장을 넘기고 싶게 만드는 소설.,5,positive
진짜 금방 읽힌다. 근데 추천은 안할듯..,1,negative
짧고 강렬하게 남는다. 답답함이 느껴졌지만 그것마저 이 책의 매력이라고 생각되게 한다.,5,positive
기대됩니다,4,positive
더좋을수있었는데 결말이 살짝 아쉽네,2,negative
타데 이 병신같은 놈,3,neutral
흥미로웠다?,3,neutral
기대한거에 비하면 내용이 부실,3,neutral
그녀의  살인은 이유가 없으며 죄책가도 없다,5,positive
처음부터 끝까지 불편한 이야기,3,neutral
술술 읽히네요,3,neutral
꽤 재미있어요  추천!,5,positive
결말이 너무 엉성함,1,negative
지루하지 않게 읽히지만.. 끝에 갑자기 마무리지어진 기분..,3,neutral
흡입력은 있지만 남는게 없네요.,3,neutral
음~~~음~~엥?스러운 전개 그리고 결말,1,negative
상상력이 많이 필요한 책,2,negative
딱 사원으로서 다닌 시야 입니다. 딱 정말 그 정도... 기대가 커서 인지 정말 짜증나네요,1,negative
